-	O	O
Bloomberg	O	O
Tech	O	O
Talk	O	O
-	O	O
When	O	O
Monday	O	O
,	O	O
Sept	O	O
29	O	O
from	O	O
6	O	O
-	O	O
7pm	O	O
-	O	O
Where	O	O
Lewis	LOCATION	O
Library	LOCATION	O
,	O	O
room	LOCATION	O
120	LOCATION	O
-	O	O
Title	O	O
Better	O	O
autocorrect	O	O
and	O	O
translation	O	O
through	O	O
scalable	O	O
systems	O	O
Abstract	O	O
Wonder	O	O
why	O	O
your	O	O
cell	O	O
phone	O	O
autocorrect	O	O
makes	O	O
mistakes	O	O
or	O	O
translation	O	O
apps	O	O
produce	O	O
confusing	O	O
output	O	O
?	O	O
These	O	O
systems	O	O
learn	O	O
from	O	O
text	O	O
and	O	O
,	O	O
generally	O	O
,	O	O
larger	O	O
text	O	O
produces	O	O
better	O	O
quality	O	O
.	O	O
Trillions	O	O
of	O	O
words	O	O
of	O	O
text	O	O
are	O	O
available	O	O
on	O	O
the	O	O
web	O	O
,	O	O
but	O	O
traditional	O	O
approaches	O	O
were	O	O
only	O	O
able	O	O
to	O	O
use	O	O
billions	O	O
of	O	O
words	O	O
.	O	O
This	O	O
talk	O	O
is	O	O
about	O	O
scaling	O	O
models	O	O
to	O	O
the	O	O
web	O	O
,	O	O
fun	O	O
with	O	O
machines	O	O
that	O	O
have	O	O
1	O	O
TB	O	O
RAM	O	O
each	O	O
,	O	O
and	O	O
how	O	O
Bloomberg	O	O
is	O	O
improving	O	O
news	O	O
through	O	O
translation	O	O
.	O	O
And	O	O
I'll	O	O
be	O	O
there	O	O
this	O	O
time	O	O
as	O	O
well	O	O
,	O	O
in	O	O
case	O	O
students	O	O
have	O	O
any	O	O
general	O	O
questions	O	O
about	O	O
R	O	O
D	O	O
and	O	O
the	O	O
software	O	O
developer	O	O
role	O	O
Bloomberg	O	O
or	O	O
the	O	O
hiring	O	O
process	O	O
.	O	O
Thanks	O	O
very	O	O
much	O	O
!	O	O
Jamie	O	O
Jin	O	O
'07	O	O
From	O	O
Jamie	O	O
Jin	O	O
(	O	O
BLOOMBERG	O	O
120	O	O
PARK	O	O
)	O	O
At	O	O
Feb	O	O
4	O	O
2014	O	O
10	O	O
55	O	O
25	O	O
To	O	O
klupinac	O	O
@	O	O
princeton	O	O
.	O	O
edu	O	O
Subject	O	O
Re	O	O
Hi	O	O
Kim	O	O
,	O	O
a	O	O
tech	O	O
talk	O	O
from	O	O
Bloomberg	O	O
Thanks	O	O
so	O	O
much	O	O
Kim	O	O
!	O	O
-	O	O
-	O	O
-	O	O
-	O	O
-	O	O
Original	O	O
Message	O	O
-	O	O
-	O	O
-	O	O
-	O	O
-	O	O
From	O	O
klupinac	O	O
@	O	O
princeton	O	O
.	O	O
edu	O	O
To	O	O
Jamie	O	O
Jin	O	O
(	O	O
BLOOMBERG	O	O
120	O	O
PARK	O	O
)	O	O
jjin13	O	O
@	O	O
bloomberg	O	O
.	O	O
net	O	O
At	O	O
Feb	O	O
4	O	O
2014	O	O
10	O	O
55	O	O
02	O	O
Hi	O	O
Jamie	O	O
-	O	O
Yes	O	O
,	O	O
I	O	O
remember	O	O
!	O	O
Hope	O	O
all	O	O
is	O	O
well	O	O
.	O	O
I	O	O
have	O	O
forwarded	O	O
your	O	O
email	O	O
to	O	O
our	O	O
grads	O	O
and	O	O
undergrads	O	O
.	O	O
Best	O	O
,	O	O
Kim	O	O
On	O	O
2	O	O
4	O	O
2014	O	O
10	O	O
42	O	O
AM	O	O
,	O	O
Jamie	O	O
Jin	O	O
(	O	O
BLOOMBERG	O	O
120	O	O
PARK	O	O
)	O	O
wrote	O	O
Hi	O	O
Kim	O	O
,	O	O
how	O	O
are	O	O
you	O	O
?	O	O
You	O	O
maybe	O	O
don't	O	O
remember	O	O
,	O	O
but	O	O
I	O	O
graduated	O	O
from	O	O
the	O	O
ORFE	O	O
department	O	O
in	O	O
2007	O	O
.	O	O
I've	O	O
been	O	O
working	O	O
at	O	O
Bloomberg	O	O
ever	O	O
since	O	O
as	O	O
a	O	O
software	O	O
developer	O	O
,	O	O
and	O	O
just	O	O
wanted	O	O
to	O	O
let	O	O
you	O	O
know	O	O
Bloomberg	O	O
is	O	O
hosting	O	O
an	O	O
interesting	O	O
tech	O	O
talk	O	O
tomorrow	O	O
night	O	O
on	O	O
campus	O	O
,	O	O
about	O	O
Bloomberg's	O	O
open	O	O
source	O	O
standard	O	O
C	O	O
library	O	O
,	O	O
called	O	O
bsl	O	O
.	O	O
Is	O	O
there	O	O
a	O	O
better	O	O
contact	O	O
I	O	O
should	O	O
reach	O	O
out	O	O
to	O	O
about	O	O
events	O	O
like	O	O
this	O	O
?	O	O
If	O	O
there	O	O
are	O	O
undergrads	O	O
or	O	O
graduate	O	O
students	O	O
in	O	O
ORFE	O	O
who	O	O
have	O	O
an	O	O
interest	O	O
in	O	O
software	O	O
engineering	O	O
,	O	O
this	O	O
talk	O	O
should	O	O
be	O	O
a	O	O
nice	O	O
introduction	O	O
to	O	O
advanced	O	O
concepts	O	O
for	O	O
large	O	O
-	O	O
scale	O	O
projects	O	O
.	O	O
We	O	O
worked	O	O
with	O	O
Seeta	O	O
Hayban	O	O
in	O	O
the	O	O
Career	O	O
Center	O	O
to	O	O
set	O	O
this	O	O
up	O	O
TIME	O	O
Wednesday	O	O
,	O	O
Feb	O	O
5	O	O
from	O	O
18	O	O
00	O	O
-	O	O
19	O	O
00	O	O
LOCATION	O	O
Frist	LOCATION	LOCATION
234	LOCATION	LOCATION
Food	O	O
will	O	O
be	O	O
served	O	O
ABSTRACT	O	O
Bloomberg	O	O
L	O	O
.	O	O
P	O	O
.	O	O
has	O	O
recently	O	O
open	O	O
-	O	O
sourced	O	O
the	O	O
Bloomberg	O	O
Standard	O	O
Library	O	O
(	O	O
BSL	O	O
)	O	O
.	O	O
BSL	O	O
is	O	O
a	O	O
low	O	O
-	O	O
level	O	O
,	O	O
high	O	O
-	O	O
performance	O	O
C	O	O
software	O	O
library	O	O
that	O	O
provides	O	O
sophisticated	O	O
tools	O	O
for	O	O
software	O	O
development	O	O
,	O	O
as	O	O
well	O	O
as	O	O
a	O	O
methodology	O	O
for	O	O
writing	O	O
reusable	O	O
,	O	O
fine	O	O
-	O	O
grained	O	O
software	O	O
.	O	O
This	O	O
talk	O	O
will	O	O
give	O	O
an	O	O
overview	O	O
of	O	O
the	O	O
BSL	O	O
library	O	O
,	O	O
specifically	O	O
focusing	O	O
on	O	O
the	O	O
solutions	O	O
it	O	O
provides	O	O
for	O	O
memory	O	O
allocation	O	O
and	O	O
defensive	O	O
programming	O	O
.	O	O
Presenter's	O	O
bio	O	O
Stefano	O	O
Pacifico	O	O
is	O	O
Senior	O	O
Software	O	O
Engineer	O	O
in	O	O
the	O	O
Knowledge	O	O
Engineering	O	O
group	O	O
at	O	O
Bloomberg	O	O
L	O	O
.	O	O
P	O	O
.	O	O
,	O	O
which	O	O
focuses	O	O
on	O	O
creating	O	O
statistically	O	O
driven	O	O
solutions	O	O
to	O	O
information	O	O
asymmetry	O	O
problems	O	O
in	O	O
financial	O	O
markets	O	O
,	O	O
increasing	O	O
transparency	O	O
,	O	O
and	O	O
helping	O	O
Bloomberg's	O	O
global	O	O
client	O	O
base	O	O
of	O	O
financial	O	O
professionals	O	O
to	O	O
make	O	O
smarter	O	O
investment	O	O
decisions	O	O
.	O	O
Stefano	O	O
has	O	O
also	O	O
worked	O	O
extensively	O	O
on	O	O
topics	O	O
such	O	O
as	O	O
large	O	O
scale	O	O
C	O	O
development	O	O
,	O	O
library	O	O
architecture	O	O
,	O	O
and	O	O
physical	O	O
design	O	O
.	O	O
Additionally	O	O
,	O	O
he	O	O
is	O	O
one	O	O
of	O	O
the	O	O
co	O	O
-	O	O
authors	O	O
of	O	O
the	O	O
open	O	O
source	O	O
Bloomberg	O	O
Standard	O	O
Library	O	O
.	O	O
Thanks	O	O
a	O	O
lot	O	O
!	O	O
Jamie	O	O
Jin	O	O
'07	O	O
-	O	O
